Chapter,Chapter Value,Heading,Heading Value
84,"Nuclear reactors, boilers, machinery",84.84,Gaskets and similar joints of metal sheeting combined with
84,"Nuclear reactors, boilers, machinery",84.85,Machines for additive manufacturing.
84,"Nuclear reactors, boilers, machinery",84.86,Machines and apparatus of a kind used solely or principally for
84,"Nuclear reactors, boilers, machinery",84.87,Machinery
85,Electrical machinery and equipment and parts thereof;,85.01,Electric motors and generators (excluding generating sets).
85,Electrical machinery and equipment and parts thereof;,85.02,Electric generating sets and rotary converters.
85,Electrical machinery and equipment and parts thereof;,85.03,
85,Electrical machinery and equipment and parts thereof;,85.04,Electrical
85,Electrical machinery and equipment and parts thereof;,85.05,Electro-magnets; permanent magnets and articles intended to
85,Electrical machinery and equipment and parts thereof;,85.06,Primary cells and primary batteries.
85,Electrical machinery and equipment and parts thereof;,85.07,"Electric accumulators, including separators therefor, whether"
85,Electrical machinery and equipment and parts thereof;,85.08,Vacuum cleaners.
85,Electrical machinery and equipment and parts thereof;,85.09,"Electro-mechanical domestic appliances, with self-contained"
85,Electrical machinery and equipment and parts thereof;,85.10,"Shavers, hair clippers and hair-removing appliances, with self-"
85,Electrical machinery and equipment and parts thereof;,85.11,Electrical ignition or starting equipment of a kind used for
85,Electrical machinery and equipment and parts thereof;,85.12,Electrical lighting or signalling equipment (excluding articles of
85,Electrical machinery and equipment and parts thereof;,85.13,Portable electric lamps designed to function by their own source
85,Electrical machinery and equipment and parts thereof;,85.14,Industrial or laboratory electric furnaces and ovens (including
85,Electrical machinery and equipment and parts thereof;,85.15,"Electric (including electrically heated gas), laser or other light"
85,Electrical machinery and equipment and parts thereof;,85.16,Electric instantaneous or storage water heaters and immersion
85,Electrical machinery and equipment and parts thereof;,85.17,"Telephone sets, including smartphones and other telephones for"
85,Electrical machinery and equipment and parts thereof;,85.18,"Microphones and stands therefor; loudspeakers, whether or not"
85,Electrical machinery and equipment and parts thereof;,85.19,Sound recording or reproducing apparatus.
85,Electrical machinery and equipment and parts thereof;,85.21,"Video recording or reproducing apparatus, whether or not"
85,Electrical machinery and equipment and parts thereof;,85.22,Parts and accessories suitable for use solely or principally with
85,Electrical machinery and equipment and parts thereof;,85.23,"Discs, tapes, solid-state non-volatile storage devices, “smart"
85,Electrical machinery and equipment and parts thereof;,85.24,"Flat panel display modules, whether or not incorporating touch-"
85,Electrical machinery and equipment and parts thereof;,85.25,"Transmission apparatus for radio-broadcasting or television,"
85,Electrical machinery and equipment and parts thereof;,85.26,"Radar apparatus, radio navigational aid apparatus and radio"
85,Electrical machinery and equipment and parts thereof;,85.27,"Reception apparatus for radio-broadcasting, whether or not"
85,Electrical machinery and equipment and parts thereof;,85.28,"Monitors and projectors, not incorporating television reception"
85,Electrical machinery and equipment and parts thereof;,85.29,Parts suitable for use solely or principally with the apparatus of
85,Electrical machinery and equipment and parts thereof;,85.30,"Electrical signalling, safety or traffic control equipment for"
85,Electrical machinery and equipment and parts thereof;,85.31,"Electric sound or visual signalling apparatus (for example, bells,"
85,Electrical machinery and equipment and parts thereof;,85.32,"Electrical capacitors, fixed, variable or adjustable (pre-set)."
85,Electrical machinery and equipment and parts thereof;,85.33,"Electrical resistors (including rheostats and potentiometers),"
85,Electrical machinery and equipment and parts thereof;,85.34,
85,Electrical machinery and equipment and parts thereof;,85.35,Electrical apparatus for switching or protecting electrical
85,Electrical machinery and equipment and parts thereof;,85.36,Electrical apparatus for switching or protecting electrical
85,Electrical machinery and equipment and parts thereof;,85.37,"Boards, panels, consoles, desks, cabinets and other bases,"
85,Electrical machinery and equipment and parts thereof;,85.38,Parts suitable for use solely or principally with the apparatus of
85,Electrical machinery and equipment and parts thereof;,85.39,"Electric filament or discharge lamps, including sealed beam"
85,Electrical machinery and equipment and parts thereof;,85.40,"Thermionic, cold cathode or photo-cathode valves and tubes"
85,Electrical machinery and equipment and parts thereof;,85.41,"Semiconductor devices (for example, diodes, transistors,"
85,Electrical machinery and equipment and parts thereof;,85.42,Electronic integrated circuits.
85,Electrical machinery and equipment and parts thereof;,85.43,"Electrical machines and apparatus, having individual functions,"
85,Electrical machinery and equipment and parts thereof;,85.44,"Insulated (including enamelled or anodised) wire, cable"
85,Electrical machinery and equipment and parts thereof;,85.45,"Carbon electrodes, carbon brushes, lamp carbons, battery"
85,Electrical machinery and equipment and parts thereof;,85.46,Electrical insulators of any material.
85,Electrical machinery and equipment and parts thereof;,85.47,"Insulating fittings for electrical machines, appliances or"
85,Electrical machinery and equipment and parts thereof;,85.48,
85,Electrical machinery and equipment and parts thereof;,85.49,Electrical and electronic waste and scrap.
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.01,Rail locomotives powered from an external source of electricity
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.02,Other rail locomotives; locomotive tenders.
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.03,"Self-propelled railway or tramway coaches, vans and trucks,"
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.04,
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.05,
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.06,"Railway or tramway goods vans and wagons, not self-propelled."
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.07,Parts of railway or tramway locomotives or rolling-stock.
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.08,
86,"Railway or tramway locomotives, rolling-stock and parts thereof;",86.09,
87,"Vehicles other than railway or tramway rolling-stock,",87.01,Tractors (other than tractors of heading 87.09).
87,"Vehicles other than railway or tramway rolling-stock,",87.02,"Motor vehicles for the transport of ten or more persons,"
87,"Vehicles other than railway or tramway rolling-stock,",87.03,Motor cars and other motor vehicles principally designed for
87,"Vehicles other than railway or tramway rolling-stock,",87.04,Motor vehicles for the transport of goods.
87,"Vehicles other than railway or tramway rolling-stock,",87.05,"Special purpose motor vehicles, other than those principally"
87,"Vehicles other than railway or tramway rolling-stock,",87.06,
87,"Vehicles other than railway or tramway rolling-stock,",87.07,"Bodies (including cabs), for the motor vehicles of headings 87.01"
87,"Vehicles other than railway or tramway rolling-stock,",87.08,Parts and accessories of the motor vehicles of headings 87.01 to
87,"Vehicles other than railway or tramway rolling-stock,",87.09,"Works trucks, self-propelled, not fitted with lifting or handling"
87,"Vehicles other than railway or tramway rolling-stock,",87.10,
87,"Vehicles other than railway or tramway rolling-stock,",87.11,Motorcycles (including mopeds) and cycles fitted with an
87,"Vehicles other than railway or tramway rolling-stock,",87.12,
87,"Vehicles other than railway or tramway rolling-stock,",87.13,"Carriages for disabled persons, whether or not motorised or"
87,"Vehicles other than railway or tramway rolling-stock,",87.14,Parts and accessories of vehicles of headings 87.11 to 87.13.
87,"Vehicles other than railway or tramway rolling-stock,",87.15,
87,"Vehicles other than railway or tramway rolling-stock,",87.16,"Trailers and semi-trailers; other vehicles, not mechanically"
88,"Aircraft, spacecraft, and parts thereof",88.01,
88,"Aircraft, spacecraft, and parts thereof",88.02,"Other aircraft (for example, helicopters, aeroplanes), except"
88,"Aircraft, spacecraft, and parts thereof",88.04,
88,"Aircraft, spacecraft, and parts thereof",88.05,Aircraft launching gear; deck-arrestor or similar gear; ground
88,"Aircraft, spacecraft, and parts thereof",88.06,Unmanned aircraft.
88,"Aircraft, spacecraft, and parts thereof",88.07,"Parts of goods of heading 88.01, 88.02 or 88.06."
89,"Ships, boats and floating structures",89.01,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges"
89,"Ships, boats and floating structures",89.02,
89,"Ships, boats and floating structures",89.03,Yachts and other vessels for pleasure or sports; rowing boats
89,"Ships, boats and floating structures",89.04,
89,"Ships, boats and floating structures",89.05,"Light-vessels, fire-floats, dredgers, floating cranes and other"
89,"Ships, boats and floating structures",89.06,"Other vessels, including warships and lifeboats other than"
89,"Ships, boats and floating structures",89.07,"Other floating structures (for example, rafts, tanks, coffer-"
89,"Ships, boats and floating structures",89.08,
90,"Optical, photographic,",90.01,Optical fibres and optical fibre bundles; optical fibre cables other
90,"Optical, photographic,",90.02,"Lenses, prisms, mirrors and other optical elements, of any"
90,"Optical, photographic,",90.03,"Frames and mountings for spectacles, goggles or the like, and"
90,"Optical, photographic,",90.04,"Spectacles, goggles and the like, corrective, protective or other."
90,"Optical, photographic,",90.05,"Binoculars, monoculars, other optical telescopes, and mountings"
90,"Optical, photographic,",90.06,Photographic
90,"Optical, photographic,",90.07,"Cinematographic cameras and projectors, whether or not"
90,"Optical, photographic,",90.08,"Image projectors, other than cinematographic; photographic"
90,"Optical, photographic,",90.10,Apparatus
90,"Optical, photographic,",90.11,Compound
90,"Optical, photographic,",90.12,Microscopes
90,"Optical, photographic,",90.13,"Lasers, other than laser diodes; other optical appliances and"
90,"Optical, photographic,",90.14,Direction finding compasses; other navigational instruments and
90,"Optical, photographic,",90.15,Surveying
90,"Optical, photographic,",90.16,
90,"Optical, photographic,",90.17,"Drawing, marking-out or mathematical calculating instruments"
90,"Optical, photographic,",90.18,"Instruments and appliances used in medical, surgical, dental or"
90,"Optical, photographic,",90.19,Mechano-therapy appliances; massage apparatus; psychological
90,"Optical, photographic,",90.20,
90,"Optical, photographic,",90.21,"Orthopaedic appliances, including crutches, surgical belts and"
90,"Optical, photographic,",90.22,"Apparatus based on the use of X-rays or of alpha, beta, gamma"
90,"Optical, photographic,",90.23,
90,"Optical, photographic,",90.24,"Machines and appliances for testing the hardness, strength,"
90,"Optical, photographic,",90.25,"Hydrometers and similar floating instruments, thermometers,"
90,"Optical, photographic,",90.26,"Instruments and apparatus for measuring or checking the flow,"
90,"Optical, photographic,",90.27,Instruments and apparatus for physical or chemical analysis (for
90,"Optical, photographic,",90.28,"Gas, liquid or electricity supply or production meters, including"
90,"Optical, photographic,",90.29,Revolution
90,"Optical, photographic,",90.30,"Oscilloscopes, spectrum analysers and other instruments and"
90,"Optical, photographic,",90.31,"Measuring or checking instruments, appliances and machines,"
90,"Optical, photographic,",90.32,Automatic regulating or controlling instruments and apparatus.
90,"Optical, photographic,",90.33,
91,Clocks and watches and parts thereof,91.01,"Wrist-watches, pocket-watches and other watches, including"
91,Clocks and watches and parts thereof,91.02,"Wrist-watches, pocket-watches and other watches, including"
91,Clocks and watches and parts thereof,91.03,"Clocks with watch movements, excluding clocks of heading 91.04."
91,Clocks and watches and parts thereof,91.04,
91,Clocks and watches and parts thereof,91.05,Other clocks.
91,Clocks and watches and parts thereof,91.06,"Time of day recording apparatus and apparatus for measuring,"
91,Clocks and watches and parts thereof,91.07,
91,Clocks and watches and parts thereof,91.08,"Watch movements, complete and assembled."
91,Clocks and watches and parts thereof,91.09,"Clock movements, complete and assembled."
91,Clocks and watches and parts thereof,91.10,"Complete watch or clock movements, unassembled or partly"
91,Clocks and watches and parts thereof,91.11,Watch cases and parts thereof.
91,Clocks and watches and parts thereof,91.12,Clock cases and cases of a similar type for other goods of this
91,Clocks and watches and parts thereof,91.13,"Watch straps, watch bands and watch bracelets, and parts"
91,Clocks and watches and parts thereof,91.14,Other clock or watch parts.
92,Musical instruments;,92.01,"Pianos, including automatic pianos; harpsichords and other"
92,Musical instruments;,92.02,"Other string musical instruments (for example, guitars, violins,"
92,Musical instruments;,92.05,"Wind musical instruments (for example, keyboard pipe organs,"
92,Musical instruments;,92.06,
92,Musical instruments;,92.07,"Musical instruments, the sound of which is produced, or must be"
92,Musical instruments;,92.08,"Musical boxes, fairground organs, mechanical street organs,"
92,Musical instruments;,92.09,"Parts (for example, mechanisms for musical boxes) and"
93,Arms and ammunition; parts and accessories thereof,93.01,"Military weapons, other than revolvers, pistols and the arms of"
93,Arms and ammunition; parts and accessories thereof,93.02,
93,Arms and ammunition; parts and accessories thereof,93.03,Other firearms and similar devices which operate by the firing of
93,Arms and ammunition; parts and accessories thereof,93.04,
93,Arms and ammunition; parts and accessories thereof,93.05,Parts and accessories of articles of headings 93.01 to 93.04.
93,Arms and ammunition; parts and accessories thereof,93.06,"Bombs, grenades, torpedoes, mines, missiles and similar"
93,Arms and ammunition; parts and accessories thereof,93.07,
94,"Furniture; bedding, mattresses, mattress supports,",94.01,"Seats (other than those of heading 94.02), whether or not"
94,"Furniture; bedding, mattresses, mattress supports,",94.02,"Medical, surgical, dental or veterinary furniture (for example,"
94,"Furniture; bedding, mattresses, mattress supports,",94.03,Other furniture and parts thereof.
94,"Furniture; bedding, mattresses, mattress supports,",94.04,Mattress supports; articles of bedding and similar furnishing (for
94,"Furniture; bedding, mattresses, mattress supports,",94.05,Luminaires and lighting fittings including searchlights and
94,"Furniture; bedding, mattresses, mattress supports,",94.06,Prefabricated buildings.
95,"Toys, games and sports requisites;",95.03,
95,"Toys, games and sports requisites;",95.04,"Video game consoles and machines, table or parlour games,"
95,"Toys, games and sports requisites;",95.05,"Festive, carnival or other entertainment articles, including"
95,"Toys, games and sports requisites;",95.06,"Articles and equipment for general physical exercise, gymnastics,"
95,"Toys, games and sports requisites;",95.07,"Fishing rods, fish-hooks and other line fishing tackle; fish landing"
95,"Toys, games and sports requisites;",95.08,Travelling circuses and travelling menageries; amusement park
96,Miscellaneous manufactured articles,96.01,"Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-"
96,Miscellaneous manufactured articles,96.02,
96,Miscellaneous manufactured articles,96.03,"Brooms, brushes (including brushes constituting parts of"
96,Miscellaneous manufactured articles,96.04,
96,Miscellaneous manufactured articles,96.05,
96,Miscellaneous manufactured articles,96.06,"Buttons, press-fasteners, snap-fasteners and press-studs, button"
96,Miscellaneous manufactured articles,96.07,Slide fasteners and parts thereof.
96,Miscellaneous manufactured articles,96.08,Ball point pens; felt tipped and other porous-tipped pens and
96,Miscellaneous manufactured articles,96.09,"Pencils (other than pencils of heading 96.08), crayons, pencil"
96,Miscellaneous manufactured articles,96.10,
96,Miscellaneous manufactured articles,96.11,
96,Miscellaneous manufactured articles,96.12,"Typewriter or similar ribbons, inked or otherwise prepared for"
96,Miscellaneous manufactured articles,96.13,"Cigarette lighters and other lighters, whether or not mechanical"
96,Miscellaneous manufactured articles,96.14,
96,Miscellaneous manufactured articles,96.15,"Combs, hair-slides and the like; hairpins, curling pins, curling"
96,Miscellaneous manufactured articles,96.16,"Scent sprays and similar toilet sprays, and mounts and heads"
96,Miscellaneous manufactured articles,96.17,
96,Miscellaneous manufactured articles,96.18,
96,Miscellaneous manufactured articles,96.19,
96,Miscellaneous manufactured articles,96.20,
97,"Works of art, collectors' pieces and antiques",97.01,"Paintings, drawings and pastels, executed entirely by hand,"
97,"Works of art, collectors' pieces and antiques",97.02,"Original engravings, prints and lithographs."
97,"Works of art, collectors' pieces and antiques",97.03,"Original sculpture and statuary, in any material."
97,"Works of art, collectors' pieces and antiques",97.04,
97,"Works of art, collectors' pieces and antiques",97.05,Collections
97,"Works of art, collectors' pieces and antiques",97.06,Antiques of an age exceeding 100 years.
